id,sentiment,theme
1,positive,качество
2,negative,сервис и доставка
3,neutral,сервис и доставка
4,positive,качество
5,negative,качество
6,neutral,не отзыв
7,positive,качество
8,negative,эффективность работы
9,neutral,не отзыв
10,positive,качество
11,negative,сервис и доставка
12,neutral,качественная оценка продукта
13,positive,эффективность работы
14,negative,пользовательский опыт
15,neutral,объективный обзор
16,positive,индивидуальные вкусы
17,negative,сервис и возврат
18,neutral,техническое описание
19,positive,помощь персонала
20,negative,производственная ошибка
21,negative,качество продукта
22,positive,погода
23,negative,сервис и оборудование
24,positive,сервис доставки
25,neutral,не отзыв
26,positive,профессионализм услуги
27,negative,качество товара
28,positive,качеством продукта
29,negative,сервис служб
30,neutral,питание
31,negative,качество товара
32,positive,уточнение окружающей среды
33,negative,сервис и доставка
34,positive,эффективность работы
35,negative,качество товара
36,positive,питомцы
37,negative,трафик и транспарят
38,negative,эффективность работы
39,positive,сервис и доставка
40,neutral,повседневная рутина
41,negative,качество еды
42,positive,комфорт проживания
43,negative,обслуживание
44,positive,атмосфера и сервис
45,negative,качество товара
46,positive,эффективность работы
47,positive,сервис и доставка
48,negative,качество устройства
49,neutral,общее впечатление
50,positive,удобство использования
51,negative,качество сервиса
52,neutral,не отзыв
53,positive,качество товара
54,negative,сервис
55,positive,удобство использования
56,negative,эффективность работы
57,positive,качество товара
58,negative,сервис
59,neutral,не отзыв
60,positive,эффективность работы
61,negative,плохое обслуживание
62,positive,удобство использования
63,negative,качество товара
64,positive,удовольствие праздника
65,negative,качество еды
66,neutral,не отзыв
67,negative,финансовые услуги
68,negative,качество одежды
69,neutral,не отзыв
70,positive,качество услуг
71,negative,сервис
72,positive,качество товара
73,positive,эффективность работы
74,negative,сервис
75,neutral,не отзыв
76,positive,удобство использования
77,negative,качество товара
78,negative,качество товара
79,neutral,не отзыв
80,positive,эффективность работы
81,negative,сервис и доставка
82,neutral,вкус блюд и порции
83,negative,кондиционность жилья
84,positive,качество обслуживания
85,negative,работа устройства
86,positive,клиентский сервис
87,negative,качество сделки
88,neutral,качественное приготовление блюд
89,negative,долговечность устройства
90,negative,качество доставки
91,positive,подарок
92,negative,технические неполадки
93,negative,качество товара
94,positive,питание
95,negative,ценообразование
96,negative,результаты использования косметики
97,negative,сервис уборки
98,positive,образовательные мероприятия
99,negative,размера и фасон
100,neutral,не отзыв
