id,review
1,"Телефон держит заряд двое суток, экран яркий и сочный."
2,"Ждал курьера 2 часа, в итоге заказ отменили."
3,"Обычная доставка, всё как обычно."
4,"Отель очень понравился: чисто, уютно и персонал приветливый."
5,"Суп оказался холодным, а официант грубил."
6,"Дождь идёт третий день подряд, но для октября это норма."
7,"Кофе восхитительный! Обязательно приду ещё."
8,"Приложение вылетает при каждой попытке загрузить фото."
9,"Полёт прошёл без происшествий, но и без особых удобств."
10,"Этот пылесос — чудо техники, убирает даже шерсть животных идеально."
11,"Посылка ехала три недели хотя обещали за три дня."
12,"Фильм нормальный, на один раз."
13,"После этой подушки у меня перестала болеть шея."
14,"Сайт жутко неудобный, кнопка оплаты не работает."
15,"Книга как книга — ничего выдающегося, но и не провал."
16,"Шаурма просто божественная, особенно соус чесночный."
17,"Поезд отменили, а деньги за билет не возвращают."
18,"Номер стандартный: кровать, тумбочка, кондиционер. Сойдёт."
19,"Сотрудники помогли найти потерянный паспорт в аэропорту, спасибо огромное."
20,"Наушники сломались через три дня после покупки."
21,"Картошка фри была пересолена и холодная."
22,"Погода прекрасная, солнце и +25, идеально для прогулки."
23,"Тренажёрный зал сломан уже месяц, абонемент не жалко."
24,"Курьер вежливый, позвонил за час, всё объяснил."
25,"Ничего особенного — обычный рабочий день."
26,"Стоматолог сделал анестезию идеально, даже не больно было."
27,"Купила пальто, а через неделю порвался подклад."
28,"Зимняя шипованная резина держит отлично — на льду как по асфальту."
29,"Очередь в поликлинике два часа, талонов нет."
30,"Ребёнку понравился аниматор, но еда была невкусная."
31,"Клавиатура приятная, тихая, но маркая."
32,"Парк очень красивый, особенно клёны осенью."
33,"Магазин прислал не тот цвет, который я заказывала."
34,"Автобус пришёл вовремя, кондиционер работал."
35,"Это худший шампунь в моей жизни — волосы лезут."
36,"Котёнок здоров, привит, очень ласковый. Спасибо заводчику."
37,"Метро переполнено, но это обычный час пик."
38,"Ноутбук тормозит даже в браузере, хотя новый."
39,"Отличный сервис — починили стиралку за день."
40,"Позавтракал, поработал, поужинал — обычный день."
41,"Суши были не свежие, на следующий день заболел живот."
42,"Потрясающий вид из номера на море, утром встречал рассвет."
43,"Кран на кухне капает вторую неделю, мастер так и не пришёл."
44,"В кафе чисто, музыка приятная, цены средние."
45,"Кроссовки развалились после первой же прогулки."
46,"Массажист просто волшебник — спина больше не болит."
47,"Доставка вовремя, пицца тёплая, курьер улыбчивый."
48,"Экран ноутбука мерцает, глаза устают за час."
49,"Гостиница нормальная, переночевать можно."
50,"Плед очень мягкий и тёплый, котик сразу на нём уснул."
51,"Регистратура работает отвратительно, запись потеряли."
52,"Утром морозилка, днём оттепель — типичная зима в средней полосе."
53,"Торт невероятно вкусный, мусс тает во рту."
54,"Пароль от Wi-Fi не подходит, хотя на ресепшене дали."
55,"Стул обычный, не шатается, сидеть удобно."
56,"Электричка еле ползла, опоздал на важную встречу."
57,"Куртка отлично греет в минус 20, ветер не продувает."
58,"Продавец в магазине нахамил и отвернулся."
59,"День прошёл продуктивно, но ничего интересного не случилось."
60,"Блендер мощный, за секунду измельчает любые орехи."
61,"Билеты на самолёт продали дважды, пришлось стоять в очереди в аэропорту."
62,"Такси приехало быстро, водитель помог с сумками."
63,"Чехол для телефона тонкий, но защита слабая."
64,"Праздник удался на славу — аниматоры, конкурсы, подарки."
65,"В столовой суп пересолен, компот кислый."
66,"На улице пасмурно и сыро, но зато тепло."
67,"Банк заблокировал карту без предупреждения, деньги не снять."
68,"Свитер сел после первой стирки, хотя стирала по инструкции."
69,"Ничего не произошло — работа, дом, ужин."
70,"Педикюр держится уже три недели, мастер молодец."
71,"Сиделка опоздала на час и даже не извинилась."
72,"Ручка пишет мягко, красиво, чернила не размазываются."
73,"Автомобиль заводится с полоборота даже в сильный мороз."
74,"Гида почти не было слышно, экскурсия не понравилась."
75,"Просто поел, просто поспал, просто проснулся."
76,"Кресло удобное, спина не устаёт даже через 5 часов сидения."
77,"Смартфон перегрелся и выключился через 10 минут съёмки видео."
78,"Кефир просрочен на два дня, в магазине не заметили."
79,"Погода переменчивая: то солнце, то ливень."
80,"Самокат быстрый, лёгкий, аккумулятор держит 40 км."
81,"Официант перепутал заказы дважды подряд."
82,"Вкусненько, но порции маленькие."
83,"Соседи сверху сверлят каждый день, но звукоизоляции нет."
84,"Фитнес-клуб чистый, тренер внимательный."
85,"Планшет тормозит, сенсор не реагирует на краю экрана."
86,"Очень красивая открытка и приятный текст внутри."
87,"Таксист вонял сигаретами, окна закрыты."
88,"Гречка нормально сварена, котлета чуть суховата."
89,"Увлажнитель воздуха работает тихо, но вода быстро кончается."
90,"Мороженое растаяло по дороге, курьер ехал долго."
91,"Подруга подарила классный набор свечей, спасибо."
92,"Лифт в доме не работает уже четвертый день."
93,"Новая паста оказалась обычной — чистит, но не отбеливает."
94,"Курица гриль сочная и ароматная, советую всем."
95,"Билеты на концерт продавали с переплатой, но зато место хорошее."
96,"Помыла голову — и волосы электризуются ещё сильнее, чем раньше."
97,"Дворник чистит лужи, но пропускает пятна масла."
98,"Отличный семинар, получил много полезной информации."
99,"Заказала шапку, пришёл совсем другой фасон."
100,"Тихий вечер, чай с печеньем, никаких новостей."
